"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 23 19:00:38 GMT 2021","Mon Aug 23 19:00:39 GMT 2021","1537","","Tests.TestPrivacyPolicy","","Tests.TestPrivacyPolicy","Test_PrivacyPolicy","Adatkezelési nyilatkozat használata",""
"passed","Mon Aug 23 19:00:21 GMT 2021","Mon Aug 23 19:00:35 GMT 2021","13567","","Tests.TestLogin","","Tests.TestLogin","Test_Login","Bejelentkezés",""
"passed","Mon Aug 23 19:01:52 GMT 2021","Mon Aug 23 19:01:54 GMT 2021","1584","","Tests.TestSearch","","Tests.TestSearch","Test_SaveResults","Keresési találatok lementése fájlba",""
"passed","Mon Aug 23 19:00:21 GMT 2021","Mon Aug 23 19:00:37 GMT 2021","16451","","Tests.TestLogout","","Tests.TestLogout","Test_Logout","Kijelentkezés",""
"passed","Mon Aug 23 19:01:51 GMT 2021","Mon Aug 23 19:01:52 GMT 2021","1600","","Tests.TestSearch","","Tests.TestSearch","Test_SearchForWord","Adatok listázása",""
"broken","Mon Aug 23 19:01:18 GMT 2021","Mon Aug 23 19:01:37 GMT 2021","18647","","Tests.TestPreferences","","Tests.TestPreferences","Test_Notification","Elnémított lapok beállítása fájlból",""
"broken","Mon Aug 23 19:00:59 GMT 2021","Mon Aug 23 19:01:18 GMT 2021","19195","","Tests.TestPreferences","","Tests.TestPreferences","Test_DeleteNotification","Elnémított lapok törlése",""
"passed","Mon Aug 23 19:00:51 GMT 2021","Mon Aug 23 19:00:59 GMT 2021","8513","","Tests.TestPreferences","","Tests.TestPreferences","Test_Language","Nyelv megváltoztatása angolról magyarra.",""
"passed","Mon Aug 23 19:00:39 GMT 2021","Mon Aug 23 19:00:51 GMT 2021","11450","","Tests.TestPreferences","","Tests.TestPreferences","Test_Signature","Új aláírás létrehozása",""
"broken","Mon Aug 23 19:00:35 GMT 2021","Mon Aug 23 19:00:47 GMT 2021","12295","","Tests.TestRegistration","","Tests.TestRegistration","Test_RegistrationWithValidData","Regisztráció",""
"passed","Mon Aug 23 19:00:47 GMT 2021","Mon Aug 23 19:01:51 GMT 2021","63614","","Tests.TestMainPageHistory","","Tests.TestMainPageHistory","Test_MainPageHistory","Több oldalas lista bejárása.",""
