"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Aug 16 00:16:31 GMT 2021","Mon Aug 16 00:16:31 GMT 2021","148","","Tests.TestLanguage","","Tests.TestLanguage","Test_Language","Test_Language()",""
"broken","Mon Aug 16 00:16:29 GMT 2021","Mon Aug 16 00:16:30 GMT 2021","1173","","Tests.TestLogin","","Tests.TestLogin","Test_Login","Test_Login()",""
"broken","Mon Aug 16 00:16:31 GMT 2021","Mon Aug 16 00:16:31 GMT 2021","136","","Tests.TestRegistration","","Tests.TestRegistration","Test_RegistrationWithValidData","Test_RegistrationWithValidData()",""
"broken","Mon Aug 16 00:16:30 GMT 2021","Mon Aug 16 00:16:30 GMT 2021","157","","Tests.TestPrivacyPolicy","","Tests.TestPrivacyPolicy","Test_PrivacyPolicy","Test_PrivacyPolicy()",""
"passed","Mon Aug 16 00:16:08 GMT 2021","Mon Aug 16 00:16:25 GMT 2021","16858","","WikipediaTest","","WikipediaTest","loginWikipedia","loginWikipedia()",""
"passed","Mon Aug 16 00:16:25 GMT 2021","Mon Aug 16 00:16:26 GMT 2021","699","","WikipediaTest","","WikipediaTest","WebTest","WebTest()",""
"passed","Mon Aug 16 00:16:28 GMT 2021","Mon Aug 16 00:16:29 GMT 2021","1472","","WikipediaTest","","WikipediaTest","searchSelenium","searchSelenium()",""
"passed","Mon Aug 16 00:16:26 GMT 2021","Mon Aug 16 00:16:28 GMT 2021","1819","","WikipediaTest","","WikipediaTest","searchFramework","searchFramework()",""
"broken","Mon Aug 16 00:16:31 GMT 2021","Mon Aug 16 00:16:31 GMT 2021","156","","Tests.TestMainPageHistory","","Tests.TestMainPageHistory","Test_MainPageHistory","Test_MainPageHistory()",""
