"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Aug 18 23:04:03 GMT 2021","Wed Aug 18 23:04:14 GMT 2021","11776","","WikipediaTest","","WikipediaTest","searchFramework","searchFramework()",""
"broken","Wed Aug 18 23:04:17 GMT 2021","Wed Aug 18 23:04:17 GMT 2021","151","","Tests.TestRegistration","","Tests.TestRegistration","Test_RegistrationWithValidData","Regisztráció",""
"passed","Wed Aug 18 23:04:14 GMT 2021","Wed Aug 18 23:04:16 GMT 2021","1664","","WikipediaTest","","WikipediaTest","searchSelenium","searchSelenium()",""
"passed","Wed Aug 18 23:04:02 GMT 2021","Wed Aug 18 23:04:02 GMT 2021","736","","WikipediaTest","","WikipediaTest","WebTest","WebTest()",""
"broken","Wed Aug 18 23:04:16 GMT 2021","Wed Aug 18 23:04:17 GMT 2021","793","","Tests.TestLogin","","Tests.TestLogin","Test_Login","Bejelentkezés",""
"broken","Wed Aug 18 23:04:17 GMT 2021","Wed Aug 18 23:04:17 GMT 2021","167","","Tests.TestPrivacyPolicy","","Tests.TestPrivacyPolicy","Test_PrivacyPolicy","Adatkezelési nyilatkozat használata",""
"broken","Wed Aug 18 23:04:17 GMT 2021","Wed Aug 18 23:04:17 GMT 2021","172","","Tests.TestLanguage","","Tests.TestLanguage","Test_Language","Nyelv megváltoztatása angolról magyarra.",""
"broken","Wed Aug 18 23:04:17 GMT 2021","Wed Aug 18 23:04:17 GMT 2021","171","","Tests.TestMainPageHistory","","Tests.TestMainPageHistory","Test_MainPageHistory","Több oldalas lista bejárása.",""
"passed","Wed Aug 18 23:03:52 GMT 2021","Wed Aug 18 23:04:02 GMT 2021","10129","","WikipediaTest","","WikipediaTest","loginWikipedia","loginWikipedia()",""
