"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sun Aug 15 23:54:57 GMT 2021","Sun Aug 15 23:54:57 GMT 2021","177","","Tests.TestRegistration","","Tests.TestRegistration","Test_RegistrationWithValidData","Test_RegistrationWithValidData()",""
"passed","Sun Aug 15 23:54:54 GMT 2021","Sun Aug 15 23:54:56 GMT 2021","1866","","WikipediaTest","","WikipediaTest","searchSelenium","searchSelenium()",""
"broken","Sun Aug 15 23:54:57 GMT 2021","Sun Aug 15 23:54:57 GMT 2021","142","","Tests.TestPrivacyPolicy","","Tests.TestPrivacyPolicy","Test_PrivacyPolicy","Test_PrivacyPolicy()",""
"passed","Sun Aug 15 23:54:35 GMT 2021","Sun Aug 15 23:54:51 GMT 2021","15899","","WikipediaTest","","WikipediaTest","loginWikipedia","loginWikipedia()",""
"passed","Sun Aug 15 23:54:52 GMT 2021","Sun Aug 15 23:54:54 GMT 2021","2254","","WikipediaTest","","WikipediaTest","searchFramework","searchFramework()",""
"broken","Sun Aug 15 23:54:57 GMT 2021","Sun Aug 15 23:54:58 GMT 2021","143","","Tests.TestMainPageHistory","","Tests.TestMainPageHistory","Test_MainPageHistory","Test_MainPageHistory()",""
"passed","Sun Aug 15 23:54:51 GMT 2021","Sun Aug 15 23:54:52 GMT 2021","738","","WikipediaTest","","WikipediaTest","WebTest","WebTest()",""
"broken","Sun Aug 15 23:54:56 GMT 2021","Sun Aug 15 23:54:57 GMT 2021","1191","","Tests.TestLogin","","Tests.TestLogin","Test_Login","Test_Login()",""
"broken","Sun Aug 15 23:54:58 GMT 2021","Sun Aug 15 23:54:58 GMT 2021","158","","Tests.TestLanguage","","Tests.TestLanguage","Test_Language","Test_Language()",""
