"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Aug 22 19:10:53 GMT 2021","Sun Aug 22 19:11:52 GMT 2021","58882","","Tests.TestMainPageHistory","","Tests.TestMainPageHistory","Test_MainPageHistory","Több oldalas lista bejárása.",""
"failed","Sun Aug 22 19:10:29 GMT 2021","Sun Aug 22 19:10:41 GMT 2021","12110","","Tests.TestPreferences","","Tests.TestPreferences","Test_Notification","Elnémított lapok beállítása fájlból",""
"broken","Sun Aug 22 19:10:23 GMT 2021","Sun Aug 22 19:10:29 GMT 2021","6410","","Tests.TestPreferences","","Tests.TestPreferences","Test_Language","Nyelv megváltoztatása angolról magyarra.",""
"passed","Sun Aug 22 19:11:52 GMT 2021","Sun Aug 22 19:11:54 GMT 2021","1792","","Tests.TestSearchForWord","","Tests.TestSearchForWord","Test_SearchForWord","Adatok listázása",""
"passed","Sun Aug 22 19:10:04 GMT 2021","Sun Aug 22 19:10:06 GMT 2021","1529","","WikipediaTest","","WikipediaTest","searchSelenium","searchSelenium()",""
"passed","Sun Aug 22 19:10:10 GMT 2021","Sun Aug 22 19:10:11 GMT 2021","1151","","Tests.TestPrivacyPolicy","","Tests.TestPrivacyPolicy","Test_PrivacyPolicy","Adatkezelési nyilatkozat használata",""
"passed","Sun Aug 22 19:09:52 GMT 2021","Sun Aug 22 19:09:52 GMT 2021","664","","WikipediaTest","","WikipediaTest","WebTest","WebTest()",""
"broken","Sun Aug 22 19:10:41 GMT 2021","Sun Aug 22 19:10:53 GMT 2021","12056","","Tests.TestRegistration","","Tests.TestRegistration","Test_RegistrationWithValidData","Regisztráció",""
"passed","Sun Aug 22 19:10:06 GMT 2021","Sun Aug 22 19:10:10 GMT 2021","4580","","Tests.TestLogin","","Tests.TestLogin","Test_Login","Bejelentkezés",""
"broken","Sun Aug 22 19:09:52 GMT 2021","Sun Aug 22 19:10:04 GMT 2021","11743","","WikipediaTest","","WikipediaTest","searchFramework","searchFramework()",""
"passed","Sun Aug 22 19:09:40 GMT 2021","Sun Aug 22 19:09:52 GMT 2021","11848","","WikipediaTest","","WikipediaTest","loginWikipedia","loginWikipedia()",""
"passed","Sun Aug 22 19:10:11 GMT 2021","Sun Aug 22 19:10:23 GMT 2021","11431","","Tests.TestPreferences","","Tests.TestPreferences","Test_Signature","Új aláírás létrehozása",""
