"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Aug 18 21:11:50 GMT 2021","Wed Aug 18 21:11:50 GMT 2021","155","","Tests.TestMainPageHistory","","Tests.TestMainPageHistory","Test_MainPageHistory","Több oldalas lista bejárása.",""
"broken","Wed Aug 18 21:11:36 GMT 2021","Wed Aug 18 21:11:48 GMT 2021","11896","","WikipediaTest","","WikipediaTest","searchFramework","searchFramework()",""
"passed","Wed Aug 18 21:11:27 GMT 2021","Wed Aug 18 21:11:35 GMT 2021","8895","","WikipediaTest","","WikipediaTest","loginWikipedia","loginWikipedia()",""
"passed","Wed Aug 18 21:11:48 GMT 2021","Wed Aug 18 21:11:50 GMT 2021","1534","","WikipediaTest","","WikipediaTest","searchSelenium","searchSelenium()",""
"broken","Wed Aug 18 21:11:31 GMT 2021","Wed Aug 18 21:11:31 GMT 2021","217","","Tests.TestLanguage","","Tests.TestLanguage","Test_Language","Nyelv megváltoztatása angolról magyarra.",""
"passed","Wed Aug 18 21:11:36 GMT 2021","Wed Aug 18 21:11:36 GMT 2021","688","","WikipediaTest","","WikipediaTest","WebTest","WebTest()",""
"broken","Wed Aug 18 21:11:50 GMT 2021","Wed Aug 18 21:11:50 GMT 2021","154","","Tests.TestLogin","","Tests.TestLogin","Test_Login","Bejelentkezés",""
"broken","Wed Aug 18 21:11:50 GMT 2021","Wed Aug 18 21:11:50 GMT 2021","141","","Tests.TestRegistration","","Tests.TestRegistration","Test_RegistrationWithValidData","Regisztráció",""
"broken","Wed Aug 18 21:11:26 GMT 2021","Wed Aug 18 21:11:31 GMT 2021","4528","","Tests.TestPrivacyPolicy","","Tests.TestPrivacyPolicy","Test_PrivacyPolicy","Adatkezelési nyilatkozat használata",""
