"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Aug 27 12:43:17 GMT 2021","Fri Aug 27 12:43:24 GMT 2021","6471","","Tests.TestPreferences","","Tests.TestPreferences","Test_Language","Nyelv megváltoztatása angolról magyarra.",""
"passed","Fri Aug 27 12:42:41 GMT 2021","Fri Aug 27 12:43:03 GMT 2021","21666","","Tests.TestLogout","","Tests.TestLogout","Test_Logout","Kijelentkezés",""
"broken","Fri Aug 27 12:43:43 GMT 2021","Fri Aug 27 12:43:55 GMT 2021","11961","","Tests.TestRegistration","","Tests.TestRegistration","Test_RegistrationWithValidData","Regisztráció",""
"passed","Fri Aug 27 12:43:03 GMT 2021","Fri Aug 27 12:43:08 GMT 2021","4975","","Tests.TestLogin","","Tests.TestLogin","Test_Login","Bejelentkezés",""
"passed","Fri Aug 27 12:43:55 GMT 2021","Fri Aug 27 12:44:52 GMT 2021","56760","","Tests.TestMainPageHistory","","Tests.TestMainPageHistory","Test_MainPageHistory","Több oldalas lista bejárása.",""
"passed","Fri Aug 27 12:43:10 GMT 2021","Fri Aug 27 12:43:17 GMT 2021","7591","","Tests.TestPreferences","","Tests.TestPreferences","Test_Signature","Új aláírás létrehozása",""
"broken","Fri Aug 27 12:43:24 GMT 2021","Fri Aug 27 12:43:31 GMT 2021","6958","","Tests.TestPreferences","","Tests.TestPreferences","Test_DeleteNotification","Elnémított lapok törlése",""
"passed","Fri Aug 27 12:43:31 GMT 2021","Fri Aug 27 12:43:43 GMT 2021","12422","","Tests.TestPreferences","","Tests.TestPreferences","Test_Notification","Elnémított lapok beállítása fájlból",""
"passed","Fri Aug 27 12:43:08 GMT 2021","Fri Aug 27 12:43:10 GMT 2021","1470","","Tests.TestPrivacyPolicy","","Tests.TestPrivacyPolicy","Test_PrivacyPolicy","Adatkezelési nyilatkozat használata",""
"passed","Fri Aug 27 12:44:53 GMT 2021","Fri Aug 27 12:44:55 GMT 2021","1546","","Tests.TestSearch","","Tests.TestSearch","Test_SaveResults","Keresési találatok lementése fájlba",""
"passed","Fri Aug 27 12:44:52 GMT 2021","Fri Aug 27 12:44:53 GMT 2021","1614","","Tests.TestSearch","","Tests.TestSearch","Test_SearchForWord","Adatok listázása",""
