"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 16 00:23:12 GMT 2021","Mon Aug 16 00:23:17 GMT 2021","5186","","Tests.TestLogin","","Tests.TestLogin","Test_Login","Test_Login()",""
"passed","Mon Aug 16 00:23:07 GMT 2021","Mon Aug 16 00:23:08 GMT 2021","699","","WikipediaTest","","WikipediaTest","WebTest","WebTest()",""
"passed","Mon Aug 16 00:23:10 GMT 2021","Mon Aug 16 00:23:12 GMT 2021","1819","","WikipediaTest","","WikipediaTest","searchSelenium","searchSelenium()",""
"passed","Mon Aug 16 00:23:17 GMT 2021","Mon Aug 16 00:23:18 GMT 2021","1290","","Tests.TestPrivacyPolicy","","Tests.TestPrivacyPolicy","Test_PrivacyPolicy","Test_PrivacyPolicy()",""
"passed","Mon Aug 16 00:23:32 GMT 2021","Mon Aug 16 00:23:41 GMT 2021","9127","","Tests.TestLanguage","","Tests.TestLanguage","Test_Language","Test_Language()",""
"passed","Mon Aug 16 00:23:30 GMT 2021","Mon Aug 16 00:23:32 GMT 2021","1590","","Tests.TestMainPageHistory","","Tests.TestMainPageHistory","Test_MainPageHistory","Test_MainPageHistory()",""
"passed","Mon Aug 16 00:22:52 GMT 2021","Mon Aug 16 00:23:07 GMT 2021","14722","","WikipediaTest","","WikipediaTest","loginWikipedia","loginWikipedia()",""
"passed","Mon Aug 16 00:23:08 GMT 2021","Mon Aug 16 00:23:10 GMT 2021","2070","","WikipediaTest","","WikipediaTest","searchFramework","searchFramework()",""
"broken","Mon Aug 16 00:23:18 GMT 2021","Mon Aug 16 00:23:30 GMT 2021","12011","","Tests.TestRegistration","","Tests.TestRegistration","Test_RegistrationWithValidData","Test_RegistrationWithValidData()",""
