"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Aug 18 21:17:13 GMT 2021","Wed Aug 18 21:17:13 GMT 2021","160","","Tests.TestPrivacyPolicy","","Tests.TestPrivacyPolicy","Test_PrivacyPolicy","Adatkezelési nyilatkozat használata",""
"broken","Wed Aug 18 21:17:12 GMT 2021","Wed Aug 18 21:17:13 GMT 2021","821","","Tests.TestLogin","","Tests.TestLogin","Test_Login","Bejelentkezés",""
"broken","Wed Aug 18 21:16:58 GMT 2021","Wed Aug 18 21:17:10 GMT 2021","11933","","WikipediaTest","","WikipediaTest","searchFramework","searchFramework()",""
"broken","Wed Aug 18 21:17:13 GMT 2021","Wed Aug 18 21:17:13 GMT 2021","163","","Tests.TestRegistration","","Tests.TestRegistration","Test_RegistrationWithValidData","Regisztráció",""
"broken","Wed Aug 18 21:17:13 GMT 2021","Wed Aug 18 21:17:13 GMT 2021","164","","Tests.TestLanguage","","Tests.TestLanguage","Test_Language","Nyelv megváltoztatása angolról magyarra.",""
"passed","Wed Aug 18 21:17:10 GMT 2021","Wed Aug 18 21:17:12 GMT 2021","1571","","WikipediaTest","","WikipediaTest","searchSelenium","searchSelenium()",""
"passed","Wed Aug 18 21:16:45 GMT 2021","Wed Aug 18 21:16:58 GMT 2021","12910","","WikipediaTest","","WikipediaTest","loginWikipedia","loginWikipedia()",""
"passed","Wed Aug 18 21:16:58 GMT 2021","Wed Aug 18 21:16:58 GMT 2021","678","","WikipediaTest","","WikipediaTest","WebTest","WebTest()",""
"broken","Wed Aug 18 21:17:13 GMT 2021","Wed Aug 18 21:17:13 GMT 2021","170","","Tests.TestMainPageHistory","","Tests.TestMainPageHistory","Test_MainPageHistory","Több oldalas lista bejárása.",""
